"time (s)","wave_55()"
2.837E-7,0.8422
2.837E-7,0.8422
2.838E-7,0.8422
2.838E-7,0.8422
2.838E-7,0.8422
2.838E-7,0.8422
2.838E-7,0.8422
2.838E-7,0.8422
2.838E-7,0.8422
2.838E-7,0.8422
2.838E-7,0.8422
2.838E-7,0.8422
2.838E-7,0.8422
2.838E-7,0.8422
2.838E-7,0.8422
2.838E-7,0.8422
2.838E-7,0.8422
2.838E-7,0.8422
2.838E-7,0.8422
2.838E-7,0.8422
2.838E-7,0.8422
2.838E-7,0.8422
2.838E-7,0.8422
2.838E-7,0.8422
2.838E-7,0.8422
2.839E-7,0.8422
2.839E-7,0.8422
2.839E-7,0.8422
2.839E-7,0.8422
2.839E-7,0.8422
2.839E-7,0.8422
2.839E-7,0.8422
2.839E-7,0.8422
2.839E-7,0.8422
2.839E-7,0.8422
2.839E-7,0.8422
2.839E-7,0.8422
2.839E-7,0.8422
2.839E-7,0.8422
2.839E-7,0.8422
2.839E-7,0.8422
2.839E-7,0.8422
2.839E-7,0.8422
2.839E-7,0.8422
2.839E-7,0.8422
2.839E-7,0.8422
2.839E-7,0.8422
2.839E-7,0.8422
2.839E-7,0.8422
2.84E-7,0.8422
2.84E-7,0.8422
2.84E-7,0.8422
2.84E-7,0.8422
2.84E-7,0.8422
2.84E-7,0.8422
2.84E-7,0.8422
2.84E-7,0.8422
2.84E-7,0.8422
2.84E-7,0.8422
2.84E-7,0.8422
2.84E-7,0.8422
2.84E-7,0.8422
2.84E-7,0.8422
2.84E-7,0.8422
2.84E-7,0.8422
2.84E-7,0.8422
2.84E-7,0.8422
2.84E-7,0.8422
2.84E-7,0.8422
2.84E-7,0.8422
2.84E-7,0.8422
2.84E-7,0.8422
2.841E-7,0.8422
2.841E-7,0.8422
2.841E-7,0.8422
2.841E-7,0.8422
2.841E-7,0.8422
2.841E-7,0.8422
2.841E-7,0.8422
2.841E-7,0.8422
2.841E-7,0.8422
2.841E-7,0.8422
2.841E-7,0.8422
2.841E-7,0.8422
2.841E-7,0.8422
2.841E-7,0.8422
2.841E-7,0.8422
2.841E-7,0.8422
2.841E-7,0.8422
2.841E-7,0.8422
